customer_id,total_quantity,total_spent,total_orders,category_prefer,recency,average_order_value,cluster
40873,26,12955.0655,7,Home Decor,102,1850.723642857143,Best Customers
27889,23,12462.812,6,Electronics,137,2077.135333333333,Best Customers
15933,24,11917.5365,6,Electronics,17,1986.2560833333334,Best Customers
34270,25,11654.985,5,Accessories,13,2330.9970000000003,Best Customers
24933,19,11362.377499999999,6,Footwear,110,1893.729583333333,Best Customers
28605,24,11282.7165,7,Fashion,174,1611.8166428571428,Best Customers
16198,22,10957.554,5,Beauty,237,2191.5108,Best Customers
33354,24,10696.649,6,Electronics,196,1782.7748333333332,Best Customers
43578,17,10245.545,4,Accessories,258,2561.38625,Best Customers
15572,19,10154.724,5,Accessories,69,2030.9448,Best Customers
33769,17,10117.449,6,Beauty,190,1686.2415,Best Customers
22425,20,10058.59,5,Beauty,68,2011.718,Best Customers
20159,18,10057.3,4,Electronics,334,2514.325,Best Customers
19382,20,10032.085500000001,6,Beauty,159,1672.0142500000002,Best Customers
28083,22,10030.033,5,Home Decor,160,2006.0066,Best Customers
30938,16,9992.337,5,Beauty,182,1998.4674,Best Customers
41935,21,9941.1755,5,Accessories,9,1988.2350999999999,Best Customers
46754,21,9847.102499999999,5,Footwear,142,1969.4204999999997,Best Customers
25665,18,9839.331,5,Fashion,82,1967.8662,Best Customers
21784,23,9822.1015,8,Electronics,3,1227.7626875,Best Customers
22864,17,9697.7495,4,Beauty,281,2424.437375,Best Customers
25290,16,9683.934000000001,5,Sports,1,1936.7868000000003,Best Customers
22061,21,9666.866,6,Home Decor,357,1611.1443333333334,Best Customers
10279,18,9612.227499999999,4,Electronics,75,2403.0568749999998,Best Customers
41405,15,9603.9915,4,Fashion,336,2400.997875,Best Customers
42752,22,9483.6765,6,Accessories,243,1580.61275,Best Customers
23295,20,9416.773000000001,5,Fashion,175,1883.3546000000001,Best Customers
35233,17,9302.896499999999,5,Accessories,30,1860.5792999999999,Best Customers
31246,24,9291.156500000001,6,Sports,77,1548.5260833333334,Best Customers
26092,15,9219.7675,4,Electronics,102,2304.941875,Best Customers
31940,19,9196.425,5,Fashion,89,1839.2849999999999,Best Customers
42408,20,9178.806,5,Accessories,113,1835.7612000000001,Best Customers
38986,21,9156.546,6,Beauty,39,1526.0910000000001,Best Customers
37891,19,9137.761999999999,4,Home Decor,320,2284.4404999999997,Best Customers
