order_id,order_date,customer_id,product_id,product_category,product_price,discount_percent,quantity,customer_country,traffic_source
1,2023-04-13,14958,7824,Accessories,143.39,40,1,USA,Paid Ads
2,2024-03-11,26825,5557,Sports,746.49,15,4,UAE,Email
3,2025-05-10,37450,2225,Electronics,641.06,5,5,Canada,Paid Ads
4,2023-09-28,20691,7855,Footwear,512.39,0,3,UAE,Direct
5,2023-04-17,24631,7789,Sports,415.89,25,3,UAE,Social Media
6,2023-03-13,29596,2796,Beauty,444.14,0,5,UAE,Social Media
7,2024-12-01,11896,6012,Accessories,244.18,15,1,Canada,Social Media
8,2023-01-21,43857,4248,Beauty,457.16,25,1,USA,Email
9,2024-09-06,10308,3966,Fashion,394.28,15,1,India,Direct
10,2023-05-02,35168,7180,Electronics,363.69,30,2,UAE,Social Media
11,2024-04-11,38419,4154,Home Decor,55.37,25,2,India,Organic
12,2023-08-03,42637,3868,Fashion,495.63,25,1,USA,Social Media
13,2023-11-27,14493,2200,Footwear,129.74,30,5,UK,Paid Ads
14,2024-04-03,22756,5734,Footwear,374.59,20,4,UAE,Email
15,2023-03-29,39288,4281,Electronics,235.25,10,2,India,Paid Ads
16,2024-01-08,22384,7035,Accessories,719.96,10,1,Canada,Social Media
17,2023-04-10,49852,1943,Home Decor,536.81,40,1,UK,Social Media
18,2025-05-21,25195,6898,Accessories,223.74,0,5,Canada,Paid Ads
19,2024-10-25,30674,1590,Footwear,739.76,5,3,Germany,Organic
20,2023-05-11,44125,7239,Fashion,451.59,5,4,India,Direct
21,2024-10-23,10082,2162,Beauty,341.89,25,2,UAE,Social Media
22,2023-11-05,18442,5316,Sports,149.78,10,2,Germany,Paid Ads
23,2025-02-08,19285,1487,Accessories,264.47,0,3,Germany,Direct
24,2023-12-10,48179,1294,Sports,38.01,25,5,USA,Paid Ads
25,2024-05-06,27792,1384,Footwear,353.15,25,5,Canada,Email
26,2024-02-18,25500,5671,Accessories,165.85,40,5,USA,Social Media
27,2025-03-16,19290,1558,Fashion,248.66,40,3,UK,Paid Ads
28,2024-01-21,46496,6978,Electronics,692.44,30,3,India,Email
29,2023-07-11,15294,5066,Electronics,273.8,20,2,UAE,Organic
30,2023-10-04,10322,6255,Home Decor,649.13,25,2,Germany,Paid Ads
31,2023-06-10,25836,7219,Footwear,696.42,25,4,Germany,Email
32,2024-04-04,44825,7269,Accessories,341.45,30,1,Germany,Direct
33,2023-11-10,45828,5443,Footwear,776.69,25,1,UAE,Direct
34,2023-01-22,30084,4887,Footwear,330.32,15,4,UK,Email
35,2023-09-10,48403,1466,Accessories,652.36,15,1,Canada,Direct
36,2025-01-17,13384,4548,Footwear,762.34,40,5,Germany,Email
37,2025-05-06,19453,5085,Fashion,12.07,40,2,Germany,Direct
38,2024-07-14,35381,7249,Fashion,287.63,20,5,Germany,Direct
39,2024-04-19,46224,5969,Electronics,616.76,30,2,UAE,Paid Ads
40,2023-02-28,13664,5049,Sports,664.7,30,1,UK,Organic
41,2024-05-25,45864,7525,Fashion,682.84,25,4,Australia,Direct
42,2024-11-12,33812,3273,Fashion,609.92,20,2,UK,Direct
43,2024-04-20,23871,5498,Beauty,265.46,30,4,UAE,Organic
44,2024-11-30,17565,1087,Home Decor,643.5,30,1,UK,Organic
45,2025-02-21,14659,7369,Footwear,454.68,15,4,India,Organic
46,2023-07-09,35929,7111,Home Decor,161.08,20,2,Canada,Direct
47,2024-11-17,40104,3369,Beauty,164.14,10,2,India,Direct
48,2024-07-16,15730,6983,Accessories,181.31,25,2,UAE,Email
49,2025-05-25,41298,6959,Electronics,137.59,40,5,India,Organic
50,2024-07-20,33547,6228,Electronics,244.14,30,1,Germany,Direct
51,2023-09-01,36359,5476,Home Decor,590.53,30,3,Canada,Email
52,2025-04-11,20467,3996,Fashion,742.72,10,1,Germany,Paid Ads
53,2024-05-19,26998,4272,Fashion,199.03,20,1,Germany,Organic
54,2023-05-11,36400,7518,Footwear,469.39,0,2,India,Direct
55,2024-04-29,45781,1796,Electronics,71.79,5,5,Australia,Social Media
56,2025-03-29,15409,2094,Electronics,444.28,25,3,USA,Social Media
57,2024-10-08,39849,4460,Accessories,642.93,0,3,Canada,Organic
58,2023-01-21,21945,6279,Beauty,513.85,20,5,Australia,Email
59,2025-04-20,26542,6479,Sports,448.47,20,4,Germany,Paid Ads
60,2023-06-16,25984,5866,Home Decor,549.43,25,5,Canada,Email
61,2023-10-01,39234,7665,Beauty,281.5,20,2,USA,Social Media
62,2024-01-23,10547,3676,Home Decor,491.2,10,2,UK,Social Media
63,2024-08-23,12900,3908,Sports,52.46,30,3,Australia,Paid Ads
64,2023-11-12,18946,3988,Sports,229.47,10,1,India,Email
65,2023-01-14,27118,4666,Beauty,134.32,15,4,UK,Organic
66,2023-08-30,41710,5440,Fashion,626.48,0,1,Germany,Organic
67,2025-02-15,21020,1485,Footwear,96.41,25,5,USA,Direct
68,2023-12-12,14317,4757,Electronics,566.35,30,5,UAE,Direct
69,2024-07-18,44692,6961,Accessories,303.8,20,5,UK,Paid Ads
70,2025-06-16,10523,4210,Accessories,353.83,25,2,India,Social Media
71,2023-12-06,36086,7349,Accessories,546.11,5,3,USA,Email
72,2023-04-02,20938,2714,Electronics,658.14,25,3,USA,Email
73,2024-01-02,24659,7762,Sports,303.7,0,4,Germany,Social Media
74,2024-03-30,18809,2490,Fashion,120.41,0,5,Australia,Organic
75,2024-03-03,25535,3177,Fashion,489.91,15,5,USA,Paid Ads
76,2024-05-23,26298,6749,Sports,756.29,20,5,Canada,Organic
77,2025-02-14,33876,5700,Electronics,157.61,15,2,Germany,Direct
78,2023-02-04,32264,5177,Home Decor,386.54,25,5,Canada,Organic
79,2023-07-25,23578,5205,Sports,47.49,5,4,Germany,Social Media
80,2023-03-22,34285,1009,Fashion,187.29,25,4,UK,Direct
81,2024-07-15,24101,4767,Beauty,464.34,15,4,Australia,Paid Ads
82,2025-05-21,32730,3789,Sports,525.66,15,3,USA,Organic
83,2024-01-23,37476,2422,Electronics,170.76,20,2,UAE,Social Media
84,2023-01-02,25503,1725,Sports,713.45,0,5,Germany,Social Media
85,2024-01-25,21506,7682,Beauty,594.0,5,2,India,Direct
86,2024-07-19,26169,2493,Electronics,513.4,40,1,UK,Direct
87,2023-04-16,28484,3708,Accessories,129.73,10,2,Germany,Paid Ads
88,2025-02-10,24838,2438,Home Decor,350.16,5,3,UK,Direct
89,2025-04-01,38821,2724,Fashion,655.92,0,5,Australia,Email
90,2024-04-21,22737,6247,Fashion,524.96,20,3,Australia,Organic
91,2024-12-03,45340,2505,Fashion,7.41,15,3,USA,Organic
92,2024-02-06,22171,4525,Footwear,196.43,30,5,Australia,Direct
93,2024-12-30,23920,7412,Footwear,590.34,15,5,Germany,Organic
94,2024-07-09,40805,5519,Accessories,316.78,15,5,UK,Organic
95,2023-06-11,26875,4598,Footwear,359.82,15,1,UAE,Direct
96,2023-07-21,40278,5826,Footwear,346.88,5,4,USA,Social Media
97,2023-09-27,48076,5987,Sports,587.82,15,2,Canada,Paid Ads
98,2025-05-12,26905,5538,Fashion,301.05,40,5,India,Email
99,2025-03-26,11914,7366,Footwear,584.65,10,5,UAE,Email
100,2023-09-28,23862,4951,Home Decor,728.98,0,1,Australia,Direct
101,2024-03-31,12925,1425,Sports,115.94,20,3,Australia,Email
102,2024-04-06,13290,1662,Home Decor,782.4,0,3,Australia,Direct
103,2024-12-27,29613,3879,Electronics,273.31,25,4,Australia,Organic
